tipo,id,seccion,categoria,titulo,texto,por_que,TU_MARCA,TU_CORRECCION
IDEA,story-pregunta,story,pregunta,¿Comprar o rentar en Polanco?,tema: Polanco · pregunta: Comprar o rentar en Polanco,Las preguntas de decisión son las que más responden por DM.,,
IDEA,story-dato,story,dato,Un dato de Polanco que sorprende,tema: Polanco · contexto: Lo que más se busca en la zona.,El dato concreto genera más guardados que cualquier consejo.,,
IDEA,story-zona,story,zonas,Polanco: por qué vivir aquí,zona: Polanco · ciudad: Ciudad de México · bajada: Todo a pie y con la ciudad a diez minutos.,"Contenido de zona: te posiciona como quien mejor conoce el lugar, sin vender nada.",,
IDEA,story-frase,story,frase,Frase de inversión patrimonial,"tema: Inversión · frase: La mejor propiedad no es la más barata, es la que no te deja dudas.",Rota bien entre las piezas informativas y descansa el feed.,,
IDEA,post-ventajas,post,consejo,5 ventajas de invertir en Polanco,"zona: Polanco · ventaja_1: Demanda de renta corporativa todo el año. · ventaja_2: Inventario nuevo escaso, precio firme. · ventaja_3: Oficinas, comercio y restaurantes a pie. · ventaja_4: Conexión directa a Reforma y Periférico. · ventaja_5: Inquilino solvente y menor rotación.",La pieza que más te posiciona como referencia de tu zona principal.,,
IDEA,post-requisitos,post,requisitos,Requisitos para un crédito hipotecario,tramite: un crédito hipotecario · requisito_1: Identificación oficial y CURP. · requisito_2: Comprobantes de ingresos de los últimos tres meses. · requisito_3: Historial crediticio sano. · requisito_4: Enganche disponible y comprobable. · requisito_5: Avalúo de la propiedad.,Lo más guardado por quien está por comprar su primera propiedad.,,
IDEA,post-rincones,post,zonas,Los mejores rincones de Polanco,"zona: Polanco · ciudad: Ciudad de México · lugar: rincones · bajada: La zona que mejor conozco, en cinco paradas.",Atrae seguidores locales sin hablar de propiedades.,,
IDEA,evento-captacion,operacion,zonas,Comparte tu nueva propiedad,(se llena con los datos del aviso),Se llena solo con los datos del aviso. Cero campos que escribir.,,
IDEA,evento-vendida,operacion,dato,Cierre exitoso,(se llena con los datos del aviso),Contar una venta real es lo que más confianza genera. Nada la supera.,,
IDEA,swipe-inquilinos,carrusel,consejo,¿En qué se fijan los inquilinos?,"titulo: ¿En qué se fijan los inquilinos al rentar? · bajada: Si vas a rentar tu propiedad, esto es lo que miran antes de decidir. · punto_1_titulo: La luz natural. · punto_1_a: Es lo primero que notan al entrar y lo que más recuerdan. · punto_1_b: Una visita de día vale más que veinte fotos. · punto_2_titulo: El costo real de vivir ahí. · punto_2_a: Preguntan por el mantenimiento antes que por la renta. · punto_2_b: Ten claro qué incluye y qué no. · punto_3_titulo: Cuánto tardan en llegar. · punto_3_a: Miden el trayecto al trabajo, no la distancia en el mapa. · punto_3_b: Menciona transporte y accesos en el anuncio. · cierre: Prepara la propiedad antes de publicarla. · cta: Te ayudo a definir el precio y a dejarla lista para las visitas.","El carrusel es el formato que más se guarda. Cinco páginas, tres ideas.",,
IDEA,story-pregunta-tiempo,story,pregunta,¿Cuánto tarda en venderse una casa?,tema: {zona} · pregunta: Cuánto tarda en venderse una casa en {zona},Casi nadie acierta. Por eso responden.,,
IDEA,story-pregunta-freno,story,pregunta,¿Qué te detiene para comprar?,tema: Compra · pregunta: Qué te detiene para comprar: el enganche o el crédito,La respuesta te dice exactamente qué contenido hacer después.,,
IDEA,story-pregunta-espacio,story,pregunta,¿Espacio o ubicación?,tema: Decisión · pregunta: Prefieres más espacio o mejor ubicación,Disyuntiva clásica. Divide opiniones y llena la bandeja.,,
IDEA,story-zona-tres-razones,story,zonas,{zona} en tres razones,"zona: {zona} · ciudad: {ciudad} · bajada: Servicios a pie, buena conexión y oferta que no se satura.",Contenido de zona: atrae seguidores locales sin vender nada.,,
IDEA,story-zona-nadie-cuenta,story,zonas,Lo que nadie te cuenta de {zona},"zona: {zona} · ciudad: {ciudad} · bajada: Lo bueno, lo caro y lo que conviene revisar antes.",Promete información de adentro. Es de lo que más se abre.,,
IDEA,story-frase-momento,story,frase,Frase sobre el momento correcto,tema: Decisión · frase: El mejor momento para ordenar tus papeles es antes de que aparezca el comprador.,Descansa el feed entre piezas informativas.,,
IDEA,story-frase-perfecta,story,frase,Frase sobre la propiedad perfecta,tema: Búsqueda · frase: No existe la propiedad perfecta. Existe la que se ajusta a cómo vives hoy.,Consuela a quien lleva meses buscando. Genera respuestas.,,
IDEA,story-dato-renta,story,dato,Cuánto tarda en rentarse en {zona},tema: {zona} · contexto: Lo que veo en la zona.,Dato concreto de tu zona. El campo va vacío a propósito.,,
IDEA,post-pregunta-enganche,post,pregunta,¿Cuánto necesitas para el enganche?,tema: Crédito · pregunta: Sabes cuánto necesitas para el enganche,La duda número uno de quien compra por primera vez.,,
IDEA,post-3pasos-visitas,post,consejo,Cómo preparar tu propiedad para las visitas,"tema: preparar tu propiedad para las visitas · paso_1_titulo: Entra luz. · paso_1_desc: Abre cortinas y persianas antes de cada visita. Es lo primero que se nota. · paso_2_titulo: Quita lo personal. · paso_2_desc: Fotos, imanes y objetos a la vista impiden que la gente se imagine viviendo ahí. · paso_3_titulo: Arregla lo chico. · paso_3_desc: Una puerta que raspa o una llave que gotea siembran dudas sobre todo lo demás.",Le habla directo a quien va a vender o rentar. Capta.,,
